date,open,high,low,adjClose,Profitability of the company,Number of Trade,count,close,p/e
2009-01-05,2758.0,2758.0,2758.0,2758.0,6679876,2422,2,2758.0,11.67
2009-01-13,2756.0,2756.0,2756.0,2757.0,57876000,21000,3,2756.0,11.67
2009-01-19,2756.0,2756.0,2756.0,2756.0,79924000,29000,4,2756.0,11.67
2009-03-01,2753.0,2753.0,2753.0,2753.0,101861000,37000,4,2753.0,11.67
2009-03-04,2752.0,2752.0,2752.0,2753.0,42105600,15300,4,2752.0,11.67
2009-04-19,2671.0,2753.0,2671.0,2752.0,436656222,158682,30,2753.0,11.67
2009-05-05,2752.0,2752.0,2752.0,2752.0,676992000,246000,48,2752.0,11.67
2009-05-10,2752.0,2752.0,2752.0,2752.0,1376000,500,1,2752.0,11.67
2009-05-17,2834.0,2834.0,2834.0,2752.0,566800,200,1,2834.0,11.67
2009-07-28,2400.0,2400.0,2400.0,2400.0,129960000,54150,7,2400.0,11.67
2009-07-29,2400.0,2400.0,2400.0,2400.0,120000000,50000,5,2400.0,11.67
2009-08-01,2400.0,2400.0,2400.0,2400.0,220800000,92000,10,2400.0,11.67
2009-08-04,2400.0,2400.0,2400.0,2400.0,120000000,50000,5,2400.0,11.67
2009-08-08,2400.0,2400.0,2400.0,2400.0,120000000,50000,5,2400.0,11.67
2009-08-09,2400.0,2400.0,2400.0,2400.0,120000000,50000,5,2400.0,11.67
2009-08-11,2400.0,2400.0,2400.0,2400.0,120000000,50000,5,2400.0,11.67
2009-08-12,2400.0,2400.0,2400.0,2400.0,120000000,50000,5,2400.0,11.67
2009-08-15,2400.0,2400.0,2400.0,2400.0,120000000,50000,5,2400.0,11.67
2009-08-17,2400.0,2400.0,2400.0,2400.0,33240000,13850,2,2400.0,11.67
2009-08-25,2400.0,2400.0,2400.0,2400.0,1200000,500,1,2400.0,11.67
2009-08-29,2400.0,2400.0,2400.0,2400.0,1200000,500,1,2400.0,11.67
2009-08-30,2400.0,2400.0,2400.0,2400.0,24000000,10000,1,2400.0,11.67
2009-09-01,2449.0,2450.0,2449.0,2406.0,12248650,5000,2,2450.0,11.67
2009-09-02,2450.0,2450.0,2450.0,2416.0,23275000,9500,2,2450.0,11.67
2009-09-06,2450.0,2450.0,2450.0,2440.0,73549000,30020,7,2450.0,11.67
2009-09-07,2450.0,2450.0,2450.0,2442.0,24500000,10000,3,2450.0,11.67
2009-09-21,2450.0,2450.0,2450.0,2442.0,1225000,500,5,2450.0,11.67
2009-09-26,2450.0,2450.0,2450.0,2442.0,1225000,500,5,2450.0,11.67
2009-09-28,2450.0,2450.0,2450.0,2443.0,9947000,4060,1,2450.0,11.67
2009-10-31,2050.0,2050.0,2050.0,2050.0,1025000,500,1,2050.0,11.67
2009-11-01,2100.0,2100.0,2100.0,2052.0,4200000,2000,1,2100.0,11.67
2009-11-04,2110.0,2113.0,2110.0,2055.0,4349600,2060,2,2113.0,11.67
2009-11-23,2126.0,2126.0,2126.0,2126.0,143505000,67500,4,2126.0,11.67
2009-12-09,2200.0,2200.0,2200.0,2200.0,110000000,50000,1,2200.0,11.67
2010-01-19,2200.0,2277.0,2200.0,2275.0,104665000,46000,3,2277.0,11.55
2010-01-23,2300.0,2300.0,2300.0,2284.0,35512000,15440,1,2300.0,11.55
2010-01-24,2300.0,2300.0,2300.0,2295.0,67988000,29560,1,2300.0,11.55
2010-01-25,2350.0,2350.0,2350.0,2350.0,235000000,100000,4,2350.0,11.55
2010-01-26,2300.0,2350.0,2300.0,2349.0,100887000,42940,2,2350.0,11.55
2010-02-07,2349.0,2349.0,2349.0,2349.0,93960000,40000,1,2349.0,11.55
2010-02-08,2349.0,2350.0,2349.0,2350.0,211460000,90000,4,2350.0,11.55
2010-02-22,2350.0,2350.0,2350.0,2350.0,117500000,50000,1,2350.0,11.55
2010-02-23,2350.0,2350.0,2350.0,2350.0,41125000,17500,1,2350.0,11.55
2010-03-07,2350.0,2350.0,2350.0,2350.0,5047800,2148,2,2350.0,11.55
2010-03-10,2350.0,2350.0,2350.0,2350.0,5106550,2173,1,2350.0,11.55
2010-03-13,2350.0,2350.0,2350.0,2350.0,5287500,2250,1,2350.0,11.55
2010-04-07,2350.0,2350.0,2350.0,2350.0,66808150,28429,4,2350.0,11.55
2010-04-14,2350.0,2350.0,2350.0,2350.0,117500000,50000,2,2350.0,11.55
2010-04-21,2432.0,2432.0,2350.0,2358.0,126135000,53500,2,2350.0,11.55
2010-04-25,2432.0,2432.0,2358.0,2373.0,168452000,71000,5,2358.0,11.55
2010-04-26,2373.0,2380.0,2373.0,2379.0,1153915000,485000,42,2380.0,11.55
2010-05-01,2462.0,2462.0,2462.0,2381.0,2462000,1000,1,2462.0,11.55
2010-05-09,2351.0,2351.0,2351.0,2375.0,20451349,8699,2,2351.0,11.55
2010-05-22,2400.0,2400.0,2400.0,2400.0,144000000,60000,3,2400.0,11.55
2010-05-23,2400.0,2400.0,2400.0,2400.0,4800000,2000,2,2400.0,11.55
