date,open,high,low,adjClose,Profitability of the company,Number of Trade,count,close,p/e
2009-01-03,1929.0,1971.0,1920.0,1943.0,7048410617,3585874,264,1971.0,6.06
2009-01-04,1997.0,2001.0,1989.0,1953.0,2298669391,1149500,152,1999.0,6.06
2009-01-05,2011.0,2011.0,2000.0,1960.0,1708573559,850604,107,2000.0,6.06
2009-01-10,2010.0,2018.0,1954.0,1966.0,7627872422,3871454,129,1954.0,6.06
2009-01-11,1942.0,1966.0,1908.0,1959.0,3027983197,1561626,110,1921.0,6.06
2009-01-12,1960.0,1960.0,1910.0,1956.0,1018692520,530360,85,1921.0,6.06
2009-01-13,1920.0,1947.0,1902.0,1948.0,2029288887,1062679,144,1947.0,6.06
2009-01-14,1929.0,1980.0,1924.0,1950.0,2711075048,1384200,127,1980.0,6.06
2009-01-17,1977.0,1997.0,1953.0,1961.0,3868350987,1947009,100,1954.0,6.06
2009-01-18,1980.0,1995.0,1978.0,1965.0,1610759752,810076,82,1992.0,6.06
2009-01-19,1993.0,2023.0,1993.0,1971.0,1541413641,763741,64,2023.0,6.06
2009-01-20,2030.0,2030.0,2030.0,1974.0,749587650,369255,24,2030.0,6.06
2009-01-21,2033.0,2033.0,2033.0,1976.0,520517122,256034,23,2033.0,6.06
2009-01-24,2035.0,2035.0,1971.0,2030.0,97594245937,48081745,459,2008.0,6.06
2009-01-25,2029.0,2040.0,1983.0,2021.0,4939792470,2462301,178,1990.0,6.06
2009-01-26,1980.0,2010.0,1969.0,2009.0,4827553590,2426369,138,1969.0,6.06
2009-01-27,2007.0,2068.0,2000.0,2015.0,3190351147,1567840,187,2049.0,6.06
2009-01-28,2037.0,2071.0,2030.0,2020.0,1542033814,750261,100,2030.0,6.06
2009-01-31,2026.0,2070.0,2016.0,2022.0,8008952346,3959110,104,2037.0,6.06
2009-02-01,2035.0,2058.0,2007.0,2019.0,4620334828,2295002,95,2007.0,6.06
2009-02-02,2001.0,2001.0,1985.0,2013.0,4004265104,2003361,101,2000.0,6.06
2009-02-03,2000.0,2000.0,1980.0,2010.0,1175025575,592113,94,1988.0,6.06
2009-02-04,1990.0,1990.0,1955.0,2004.0,2084891837,1056928,134,1955.0,6.06
2009-02-07,1968.0,1990.0,1960.0,2001.0,1395825557,706712,102,1961.0,6.06
2009-02-08,1960.0,1960.0,1941.0,1964.0,7592513953,3910587,231,1941.0,6.06
2009-02-09,1908.0,1927.0,1906.0,1959.0,1045685869,547101,92,1911.0,6.06
2009-02-11,1917.0,1918.0,1905.0,1956.0,699613749,366283,56,1914.0,6.06
2009-02-14,1901.0,1938.0,1898.0,1948.0,1953550870,1024897,97,1910.0,6.06
2009-02-15,1900.0,1900.0,1890.0,1944.0,806299171,426530,41,1890.0,6.06
2009-02-17,1886.0,1886.0,1886.0,1926.0,3774651716,2001406,143,1886.0,6.06
2009-02-18,1869.0,1869.0,1869.0,1921.0,943596423,504867,65,1869.0,6.06
2009-02-21,1864.0,1864.0,1864.0,1919.0,432708960,232140,35,1864.0,6.06
2009-02-22,1862.0,1864.0,1862.0,1872.0,9701801770,5210335,226,1862.0,6.06
2009-02-23,1816.0,1816.0,1816.0,1864.0,1580379448,870253,63,1816.0,6.06
2009-02-25,1809.0,1809.0,1809.0,1864.0,74872701,41389,10,1809.0,6.06
2009-02-28,1809.0,1809.0,1809.0,1863.0,179291799,99111,17,1809.0,6.06
2009-03-01,1808.0,1808.0,1808.0,1858.0,1129634784,624798,50,1808.0,6.06
2009-03-02,1803.0,1803.0,1803.0,1856.0,316823160,175720,22,1803.0,6.06
2009-03-03,1801.0,1801.0,1801.0,1856.0,69603247,38647,11,1801.0,6.06
